Titel;Satz;Position1;Position2;Suspense
Am Kamin;Sie werden mich schon verstehen, wenn Sie mir nur erlauben wollen, dort einige Bücher in dem dritten Fach Ihres Repositoriums hinwegzuräumen!;47787;47928;/1
Am Kamin;Es geht ja wie auf der Diele!‹;6077;6107;/1
Am Kamin;und in den Nächten, die nun folgten, wurde auch sein Schlaf durch nichts gestört.;10979;11060;/0
Am Kamin;Draußen vom Turme hörte der Doktor nach einiger Zeit eins schlagen.;1934;2001;/0
Am Kamin;Es ist nur«, sagte der Alte, »seit die da drei Gesellen haben wollen, ist der dritte nach Monatsfrist allzeit wieder fremd geworden.«;8329;8462;/0
Am Kamin;"Allmählich ermunterte er sich, und sein Gesicht erhielt wieder Leben und Ausdruck;";6203;6285;/0
Tatsachen im Falle Waldemar;Statt der seitlichen Striche machte ich jedoch jetzt solche von oben nach unten und konzentrierte meinen Blick auf das rechte Auge des Leidenden.;8711;8856;/1
Am Kamin;Das fängt sehr trocken an!;973;999;/0
Eine Spukgeschichte;Sehr sonderbar fiel es mir auf, daß die Familie, keinen, selbst die alte Französin nicht, ausgeschlossen, beängstet schien, sowie man mit dem Mädchen sprach, und versuchte, das Gespräch zu unterbrechen, sich darin manchmal auf gar erzwungene Weise einmischend.;2771;3031;/0
Am Kamin;Aber es ist noch einmal wieder Sommer geworden, alter Herr!;20782;20841;/0
Am Kamin;"Auch verhehlte sie sich keineswegs, daß ihr die Sache ziemlich übel von der Hand ging;";22248;22334;/0
Am Kamin;Später hat sich indessen der Traum bei uns nicht wiederholt.;30868;30928;/0
Tatsachen im Falle Waldemar;Ich erhielt diese Mitteilung eine halbe Stunde, nachdem sie geschrieben war, und fünfzehn Minuten später befand ich mich im Zimmer des Sterbenden.;4048;4194;/1
Tatsachen im Falle Waldemar;Die obere Hälfte des rechten Lungenflügels war ebenfalls teilweise, wenn nicht sogar ganz verknöchert, während die untere Hälfte bereits in Eiterung überzugehen begann.;5241;5409;/0
Am Kamin;Ach, Frau Nachbarin, darf ich mich wohl ein bißchen wärmen?;28706;28765;/1
Am Kamin;Als es Schlafenszeit war, führte der Meister ihn selbst durch einen langen Gang des Hintergebäudes in das obere Stockwerk und wies ihm dort seine Schlafkammer an.;8702;8864;/0
Tatsachen im Falle Waldemar;Ursprünglich war es meine Absicht gewesen, auf die Ärzte zu warten, doch ich war gezwungen anzufangen, erstens infolge der dringenden Bitten Waldemars und zweitens infolge meiner Überzeugung, daß nicht eine Minute zu verlieren sei, denn es ging ersichtlich zu Ende mit ihm.;7173;7446;/0
Am Kamin;"Dort blieb er auch des Nachts sitzen, und wenn die Kranke im Anschauen seines blassen, überwachten Antlitzes ihn bat: »Georg, leg dich schlafen! Georg, du hältst es ja nicht aus!« oder wenn sie ihm versicherte: »Geh nur; gewiß, es hat heut nacht noch nicht Gefahr«, so faßte er nur um so fester die heiße Hand der Mutter, als müsse sie gerade jetzt, wenn er sich entfernen wollte, ihm entrissen werden.";18548;18950;/0
Eine Spukgeschichte;es ist nichts, es ist ein Hirngespinst, ein Spiel deiner Einbildungskraft, was dich täuscht, wir sehen nichts, gar nichts und müßten wir, ließe sich wirklich dicht vor dir eine Gestalt erschauen, müßten wir sie nicht ebensogut wahrnehmen als du?;9829;10074;/1
Eine Spukgeschichte;Die alte Französin hatte, auf die Knie gesunken, das Gesicht zur Erde gebeugt, still gebetet, sie blieb so wie Adelgunde frei von allen bösen Folgen.;10849;10998;/1
Am Kamin;aber der lebhafte Wunsch, schon jetzt etwas zu verdienen und dadurch die letzten Jahre seiner alternden Mutter zu erleichtern, veranlaßte ihn, vom Gymnasium abzugehen und auf dem dortigen Amtshause als Lohnschreiber einzutreten.;14637;14865;/0
Eine Spukgeschichte;Seht, da streckt es den weißen Arm lang aus nach mir;10194;10246;/1
Eine Spukgeschichte;Ich hab' es euch gestanden, daß mir der verdammte Teller das Innerste aufgeregt hat.;15696;15780;/0
Tatsachen im Falle Waldemar;"ich könnte zum Beispiel sagen, daß der Laut heiser und gebrochen und hohl klang;";14878;14958;/1
Tatsachen im Falle Waldemar;Herr L...l, der Pfleger und die Pflegerin blieben auch da.;10414;10472;/0
Am Kamin;Der alte Herr, der eben aus seinem L'hombre-Klub nach Hause gekommen war, machte sich sogleich mit allen seinen Leuten auf, um nach seinem einzigen Sohn zu suchen.;7009;7172;/1
Am Kamin;"In meiner Heimat tut man nicht dergleichen;";3439;3482;/0
Eine Spukgeschichte;Kaum wagt sie es zu atmen, denn fest glaubt sie, daß, verrate sie ihre Gegenwart auf diese, jene Weise, jeder vor Entsetzen des Todes sein müsse.;11559;11704;/0
Am Kamin;So!;595;598;/0
Tatsachen im Falle Waldemar;"Während er noch sprach, begann ich mit dem Streichen;";8108;8161;/1
Tatsachen im Falle Waldemar;Herr Waldemar, können Sie uns klarmachen, was Sie jetzt fühlen oder wünschen?;19553;19630;/1
Tatsachen im Falle Waldemar;Ja;15969;15971;/1
Tatsachen im Falle Waldemar;Ich beschloß, ein Gespräch zu wagen.;11308;11344;/1
Tatsachen im Falle Waldemar;Noch andere Punkte galt es aufzuklären, doch jene vor allem reizten meine Neugier – und ganz besonders der dritte Punkt erschien mir äußerst bedeutungsvoll.;1325;1481;/0
Am Kamin;"Lassen Sie mich Ihnen indessen sogleich noch einen andern Vorfall erzählen.
";31377;31453;/0
Tatsachen im Falle Waldemar;Dr. F. äußerte dann den Wunsch, ich solle eine Frage stellen.;19465;19526;/1
Eine Spukgeschichte;seht ihr denn nichts?‹ ;5383;5406;/1
Am Kamin;In meiner Vaterstadt...;759;782;/0
Am Kamin;"An der einen Wand stand ein altes dürftiges Klavier; mitunter sangen wir daran; dann legte die alte Frau ihr Strickzeug in den Schoß, und war es zufällig eine Melodie aus ihrer Jugend, so stand sie auch wohl auf und ging mit unhörbaren Schritten und leise vor sich hinsummend im Zimmer auf und ab.";16318;16615;/0
Am Kamin;Pfui!;2857;2862;/0
Tatsachen im Falle Waldemar;Nachdem ich Waldemar die Hand gedrückt, nahm ich die Herren beiseite und empfing von ihnen über den Zustand des Patienten eingehenden Bericht.;5004;5146;/0
Am Kamin;Eifriger noch und schärfer, so dünkte es ihn, als das erstemal kehrte und fegte es bei ihm in der Kammer, und seltsamerweise, jetzt, wo es fast dunkel war, meinte er gegen das Fenster hin einen sich bewegenden Schatten zu sehen.;11528;11756;/1
Am Kamin;Träumen ist nicht Spuken.;1247;1272;/0
Eine Spukgeschichte;ruft Adelgunde mit dem dumpfen hohlen Ton des tiefsten Entsetzens,;5212;5278;/1
Tatsachen im Falle Waldemar;"Es gibt wohl zwei oder drei Vergleiche, die man hier anwenden könnte;";14808;14877;/1
Am Kamin;Horatio sagt, es sei nur Einbildung!;41249;41285;/0
Am Kamin;Er sah verstört aus, drehte seine Mütze in den Händen und stand eine ganze Weile vor mir, ohne ein Wort hervorbringen zu können.;34659;34787;/1
Tatsachen im Falle Waldemar;aber die Fürchterlichkeit des Ganzen ist unbeschreiblich, aus dem einfachen Grunde, weil niemals menschliche Ohren ähnliche Laute vernommen haben.;14959;15105;/1
Tatsachen im Falle Waldemar;Es schien uns allen klar, daß ein Aufwecken Herrn Waldemars lediglich dessen augenblickliche oder zum mindesten sehr schnelle Auflösung zur Folge haben werde.;18082;18240;/0
Am Kamin;Einige Nächte darauf träumt mir, daß ich abends wie gewöhnlich mit meiner Näharbeit neben meiner Mutter in der Stube sitze, da schellte es draußen an der Haustür.;29103;29265;/0
Eine Spukgeschichte;Was war natürlicher, als daß man die ganze Erscheinung den wunderbaren Täuschungen des dämmernden Abendlichts zuschrieb.;6001;6121;/0
Am Kamin;Er nahm ihn zu sich und suchte ihn zu ermuntern, aber das Kind war gar nicht zu beruhigen.;1489;1579;/1
Am Kamin;"Er horchte noch eine Weile und suchte sich vergebens einen Vers darauf zu machen;";10465;10546;/1
Eine Spukgeschichte;Ich erinnere mich, daß ich dem tiefsten Grausen kaum widerstehen konnte, daß ich wie ein einfältiges, verschüchtertes Kind nicht allein in meinem Zimmer schlafen mochte, als ich einst von einem alten Musiker las, den ein entsetzlicher Spuk mehrere Zeit hindurch verfolgte und ihn auch beinahe zum hellen Wahnsinn trieb.;14974;15293;/0
Tatsachen im Falle Waldemar;dieser traf kurz vor Sonnenaufgang ein und bekundete grenzenloses Erstaunen, den Patienten noch am Leben zu sehen.;12283;12397;/0
Tatsachen im Falle Waldemar;Ich hatte bisher in solchen Experimenten bei diesem Patienten kein Glück gehabt, und sicherlich hoffte ich jetzt wenig auf Erfolg.;11049;11179;/0
Am Kamin;Eines Nachts aber, da eine Linderung der Schmerzen eingetreten war und da er sich kaum mehr aufrecht zu erhalten vermochte, hatte er sich dennoch überreden lassen.;18951;19114;/0
Am Kamin;"›Ich hatte mich in einen Wolf verwandelt und wollte den kleinen Peter fressen;";2494;2572;/1
Am Kamin;Ich werde Gespenstergeschichten erzählen!;5;46;/0
Tatsachen im Falle Waldemar;»Fühlen Sie noch Schmerzen in der Brust, Herr Waldemar?«;12062;12118;/1
Tatsachen im Falle Waldemar; Jetzt war es Samstag sieben Uhr abends.;6061;6101;/1
Am Kamin;aber er wußte auf unsre Fragen keine andre Antwort zu geben.;6286;6346;/0
Am Kamin;Aber er hatte das alles mit schon träumenden Augen angesehen, und nachdem er sich unter das derbe Deckbett gestreckt und das Licht ausgelöscht hatte, fiel er bald in einen tiefen Schlaf.;9648;9834;/0
Am Kamin;Denn als sie später dennoch sich verheiratete und zum Erstaunen der Welt eines tüchtigen Knaben genas, hat sie sich anfänglich nicht überwinden können, den Jungen an die Brust zu legen, weil, wie sie sich ausdrückte, das Kind andern Geschlechts sei.;24032;24281;/0
Tatsachen im Falle Waldemar;Er schien jedesmal eine Anstrengung zu machen, um zu antworten, hatte aber nicht mehr genug Willenskraft.;17089;17194;/1
Am Kamin;Woher ist die tote Frau gekommen?;30951;30984;/0
Tatsachen im Falle Waldemar;"Es ist nun also notwendig, daß ich die
Tatsachen
berichte – soweit ich sie selbst begreife.";572;663;/1
Tatsachen im Falle Waldemar;Es war etwa fünf Minuten vor acht, als ich den Patienten bei der Hand nahm und ihn bat, Herrn L...l so klar als möglich anzugeben, ob er, Herr Waldemar, durchaus gewillt sei, daß ich in seinem gegenwärtigen Zustande den Mesmerismus bei ihm anwende.;7666;7914;/0
Am Kamin;Tu das! ;872;880;/0
Eine Spukgeschichte;Sie pflegt getreulich die kranke Schwester, und ihr steht die alte Französin bei.;12109;12190;/0
Am Kamin;Der alte Medizinalrat hatte bei dieser letzten Wendung des Gesprächs schweigend in seinem Lehnstuhl gesessen.;42384;42493;/1
Am Kamin;So saß ich, ganz in meinen Brief vertieft.;39999;40041;/0
Am Kamin;Wie Sie wissen, pflegte ich die zu meinem Haferboden führende Falltür jeden Abend mit einem Vorlegeschloß zu verschließen und den Schlüssel beim Zubettgehen mit in meine Schlafkammer zu nehmen.;32428;32621;/0
Am Kamin;»Was denn aber, Herr Vater?«;8297;8325;/0
Eine Spukgeschichte;Die kleine Familie war wie gewöhnlich in einem heiter verzierten Eckzimmer versammelt, kein Fremder zugegen.;8940;9048;/0
Am Kamin;"Es bleibt nun noch eins übrig; und wenn ihr hören wollt, so werde ich mich nicht scheuen, diesen letzten Schritt zu tun.";41477;41597;/0
Am Kamin;Das verstehen Sie ja gar nicht!;3363;3394;/0
Am Kamin;Herr Gott im Himmel, ganz min egen Droom!;30721;30762;/1
Tatsachen im Falle Waldemar;oder, schnell;19990;20003;/1
Am Kamin;Mit einem Male aber richteten sich die Blicke der Anwesenden wieder auf den Erzähler, der seinen Lehnstuhl verlassen hatte und mit vorgestreckten Händen in der Stellung eines Horchenden dastand.;46288;46482;/0
Am Kamin;Es ist nun fast ein Jahr vergangen, aber gleichwohl – ich bin niemals daran gemahnt worden.;46050;46141;/0
Am Kamin;Bei dem Schein des auf dem Tische stehenden Lichtes bemerkte ich jetzt auch, daß sie bloße Füße hatte, aber seltsamerweise, es waren große Brandwunden an denselben, und auch der wollene Rock war heute weit mehr verbrannt als in der vorigen Nacht.;29784;30030;/1
Am Kamin;ich wüßte für heute auch nichts Besseres zu erzählen.;20722;20775;/0
Am Kamin;Und dabei stand sie fortwährend und klammerte sich mit den Händen an den Ofen, nur mitunter einen Seufzer oder ein tiefes Stöhnen ausstoßend.;30031;30172;/1
Tatsachen im Falle Waldemar;Anderes Pflegepersonal wurde beschafft, und um zehn Uhr verließ ich das Haus, in Begleitung der beiden Ärzte und des Herrn L...l.;17510;17639;/0
Eine Spukgeschichte;Die Schloßuhr schlägt neun.;5165;5192;/1
Am Kamin;"Erst jetzt, als ich mich in dem hellen Zimmer wieder allein fand, überkam mich das Gefühl des Unheimlichen;";40556;40663;/1
Eine Spukgeschichte;ie, die volle herrliche Jugendlust selbst, wie ich sie erst beschrieben, ist von einem Wahnsinn befallen, der mir wenigstens grauenvoller, entsetzlicher vorkommt, als irgendeiner, den jemals eine fixe Idee erzeugte.;11145;11360;/0
Am Kamin;Als man das Korn hinweggeräumt, hatte man unter demselben die Leiche des Hauptmanns von L. gefunden, der, da die Arbeiter zum Mittagessen fortgegangen waren, sich zur Zeit des Unfalls allein in dem schon fast vollendet umgestalteten Festlokale aufgehalten hatte.;40964;41226;/1
Tatsachen im Falle Waldemar;Man wird sich erinnern, daß ich ihn gefragt hatte, ob er noch schlafe.;15881;15951;/1
Tatsachen im Falle Waldemar;"Diese ganze Zeit über verblieb der Schlafwachende in
genau
dem Zustande, wie ich ihn vorhin geschildert habe.";18442;18551;/0
Eine Spukgeschichte;Als der Obrist diesem entdeckt hatte, wie es sich mit der armen Adelgunde begebe, lachte er laut auf und meinte, nichts sei leichter, als diesen Wahnsinn zu heilen, der bloß in der überreizten Einbildungskraft seinen Grund finde.;7852;8081;/0
Am Kamin;"Es war eine lange, äußerst schmale Kammer mit kahlen weißen Wänden; unten, die ganze Breite der Querwand einnehmend, stand das Bett; da neben ein kleiner Tisch und ein kleiner Stuhl aus Föhrenholz; das war die ganze Ausstattung.";9242;9470;/0
Am Kamin;Sehr gegen ihre Neigung suchte sie ihren Unterhalt durch Putzarbeiten zu erwerben, die sie für die weibliche Bevölkerung der Umgegend verfertigte.;22101;22247;/0
Am Kamin;Du warst noch nicht weit.;1328;1353;/0
Am Kamin;An meiner Stelle trat auf meinen Vorschlag der Hauptmann von L. in das Festkomitee, mein ältester und intimster Jugendfreund.;39511;39636;/0
Tatsachen im Falle Waldemar;Ich hatte ihn seit zehn Tagen nicht gesehen und war entsetzt über die furchtbare Veränderung, die in dieser kurzen Zeit mit ihm vorgegangen war.;4195;4339;/1
Am Kamin;Einige Wochen später träumte mir, daß ich in der Dämmerung auf unserm langen Hausflur spielte.;27738;27832;/0
Tatsachen im Falle Waldemar;Lassen Sie mich so sterben!;11868;11895;/1
Am Kamin;Nun, und Ihre Geschichte?;13863;13888;/0
Am Kamin;"Es ist ihm gut ergangen; denn er hat nach mancher Not und schweren Arbeit seinen Lebensplan verwirklicht; und er lebt noch jetzt wie unter den Augen und in der Gegenwart seiner Mutter; ihre Liebe, die sie so ohne Rückhalt ihm im Leben gab, ist ihm ein Kapital geworden, das auch in den schwersten Stunden ihn nicht hat darben lassen.";20187;20520;/0
Eine Spukgeschichte;Das seltsamste Widerspiel bildete die jüngere Schwester, Adelgunde geheißen.;1569;1645;/0
Am Kamin;Sie hat keine Pointe.;13608;13629;/0
Eine Spukgeschichte;Die Kinder sehen nicht das mindeste, aber alle erfaßt Angst und Grauen.;5408;5479;/1
Am Kamin;Der Traum wollte mich diesmal am Morgen nicht wieder verlassen.;30173;30236;/1
Tatsachen im Falle Waldemar;Bei der vierten Wiederholung der Frage sagte er sehr schwach, fast unhörbar:;12746;12822;/1
Am Kamin;Sie haben die Tasse ja in Händen.;36197;36230;/0
Tatsachen im Falle Waldemar;Eine Viertelstunde lang blieb sein Zustand unverändert.;8952;9007;/1
Am Kamin;endlich, ermüdet wie er war, fiel er aufs neue in einen festen Schlaf.;10547;10617;/0
Eine Spukgeschichte;In einer Nacht stellte man sämtliche Uhren im Schlosse, ja selbst die Dorfuhr, deren dumpfe Schläge herabsummten, um eine Stunde zurück, so daß Adelgunde, sowie sie am frühen Morgen erwachte, in der Zeit um eine Stunde irren mußte.;8687;8918;/0
Tatsachen im Falle Waldemar;und jetzt;16003;16012;/1
Tatsachen im Falle Waldemar;und das, was ich jetzt berichte, ist zum großen Teile eine gedrängte oder wörtliche Wiedergabe seiner Aufzeichnungen.;7548;7665;/1
Tatsachen im Falle Waldemar;Es war evident, daß bis jetzt der Tod (oder was man gewöhnlich Tod nennt) durch das mesmeristische Verfahren aufgehalten worden war.;17949;18081;/0
Tatsachen im Falle Waldemar;er atmete röchelnd und in Intervallen von einer halben Minute.;8889;8951;/1
Am Kamin;Auch dessen.;47679;47691;/1
Am Kamin;Oh – mir graut nicht.;20584;20605;/0
Am Kamin;"Aus der angrenzenden Stube hörte ich die diktierende Stimme des Professors X.;";44989;45067;/1
Tatsachen im Falle Waldemar;Sein Schleimauswurf war unerhört stark, der Puls kaum vernehmbar.;4534;4599;/1
Am Kamin;Das sonst so freundliche Zimmer war jetzt düster und öde, die Fenster tief verhangen, und aus den Kissen unter dem dunklen Betthimmel sah das leidende Gesicht der guten Frau.;17528;17702;/1
Am Kamin;»Es war vor etwa zehn Jahren« – so erzählte unser Wirt –, »als ich mit einem jungen Kaufmann und einigen anderen Bekannten eine Lustfahrt nach einem Hofe machte, welcher dem Vater des ersteren gehörte und durch einen sogenannten Hofmann verwaltet wurde. ;4990;5244;/0
Am Kamin;Auch des mir bei dieser Gelegenheit gegebenen Versprechens?;47615;47674;/1
Tatsachen im Falle Waldemar;Die Pflegeleute verließen sofort das Zimmer und konnten nicht zur Rückkehr veranlaßt werden.;16257;16349;/1
Eine Spukgeschichte;Die sitzen in dem schönen Boskett des Schloßgartens im Kreise umher und scherzen und lachen und kümmern sich nicht darum, daß immer finstrer und finstrer der Abend heraufzieht, da die lauen Juliuslüfte erquickend wehen und erst jetzt ihre Lust recht aufgeht.;4190;4448;/0
Am Kamin;"»ich weiß es, aber der Tote muß es wiederhaben;";48331;48378;/1
Am Kamin;"Bei meinem Eintritt in das erste Zimmer blinkten mir von seiner Kommode die Skalpelle und sonstige Gerätschaften entgegen; dabei der für einen Anatomen unverkennbare signifikante Geruch.";44802;44988;/1
Tatsachen im Falle Waldemar;Fast eine Stunde lang bemühten wir uns schweigend – vollkommen schweigend – Herrn L...l ins Leben zurückzurufen.;16432;16544;/1
Am Kamin;Sie werden sich erinnern, daß er jahrelang an einem Herzleiden kränkelte, bis es endlich seinem tätigen Leben ein plötzliches Ziel setzte.;43029;43167;/1
Am Kamin;"Da saß oben ein Ding, ungestaltig und molkig, und guckte durch die Scheiben in den Garten hinab.
";12987;13084;/1
Am Kamin;Nicht?;24348;24354;/0
Am Kamin;Auf näheres Andringen fuhr er dann fort:;42774;42814;/0
Am Kamin;Als er draußen war, ging er quer über den Markt nach der Wohnung des Professors X., den er in seinem Studierzimmer antraf.;47318;47440;/1
Am Kamin;Was haben Sie zu erzählen?;21760;21786;/0
Am Kamin;Und ehe der andre noch zu antworten vermochte, war der aufgeregte Greis schon herangetreten, und nachdem er mit zitternden Händen einige Bände beiseite gelegt, holte er aus der Ecke des Faches einen Glashafen hervor, in welchem sich ein Präparat in Spiritus befand.;47932;48197;/1
Am Kamin;"Er sprach nicht; aber er führte mit einer schwerfälligen Gebärde die Hand an die Lippen und schien sich damit etwas aus dem Munde zu ziehen.";40226;40366;/1
Eine Spukgeschichte;Die Obristin, meine Verwunderung wohl bemerkend, warf einmal, um jeder Frage vorzubeugen, leicht hin, daß Adelgunde viel kränkte, daß sie vorzüglich abends um neun Uhr von Fieberanfällen heimgesucht werde, und daß daher der Arzt geraten, sie zu dieser Zeit der unbedingtesten Ruhe zu überlassen.;3444;3739;/0
Am Kamin;Er ist vorschriftsmäßig präpariert.;35734;35769;/0
Tatsachen im Falle Waldemar;"Herr L...l war so gütig, meinem Ersuchen, den Vorgang schriftlich festzuhalten, willig nachzukommen;";7447;7547;/0
Eine Spukgeschichte;Die Französin begleitete sie, und so kam es, daß beide niemals das Abendessen, welches um neun Uhr angerichtet wurde, abwarten durften.;3306;3441;/0
Tatsachen im Falle Waldemar;Mein lieber P.!;3827;3842;/0
Am Kamin;Ich war mir vollständig bewußt, daß sie tot sei, und schlüpfte, da sie näher kam, nur kaum an ihr vorbei in die Wohnstube, wo meine Mutter eben das Licht angezündet hatte.;28076;28247;/1
Eine Spukgeschichte;Endlich brach Lothar los:;12536;12561;/0
Am Kamin;es sei indes immer nur zur Zeit des Vollmonds gewesen und übrigens niemandem etwas dadurch zu nahe geschehen. ;10825;10935;/0
Tatsachen im Falle Waldemar;"Nach Ablauf dieser Frist jedoch entrang sich der Brust des Sterbenden ein tiefer Seufzer, und das Röcheln war nicht mehr zu vernehmen;";9008;9142;/1
Eine Spukgeschichte;Adelgunde war sonst das blühendste, munterste Kind, das man nur sehen konnte.;4020;4097;/0
Tatsachen im Falle Waldemar;Sein Wille war niemals dem meinigen vollkommen unterworfen, und in bezug auf ›Hellsehen‹ konnte ich mit ihm nichts Zuverlässiges erreichen.;2374;2513;/0
Tatsachen im Falle Waldemar;Er sprach sehr deutlich, nahm ohne jede Hilfe einige lindernde Arzneien zu sich und war, als ich ins Zimmer trat, damit beschäftigt, in sein Notizbuch Aufzeichnungen zu machen.;4741;4917;/0
Am Kamin;Ich hatte auch sonst noch so manches auf dem Herzen, was ich dem Freunde mit teilen mußte.;39908;39998;/0
Tatsachen im Falle Waldemar;Als jene Gedanken sich mir zum ersten Male aufdrängten, war es ganz natürlich, daß ich an Herrn Waldemar dachte.;2871;2983;/0
Am Kamin;Dann erzählte sie mir, wie sie in denselben Nächten im Traum genau dasselbe erlebt hatte wie ich.;30766;30863;/1
Tatsachen im Falle Waldemar;und ich bin gewiß, daß alle Anwesenden darauf vorbereitet waren, den Patienten erwachen zu sehen.;20488;20585;/1
Am Kamin;genauer kann ich es nicht bestimmen;2739;2774;/1
Am Kamin;Aber er hatte nicht darauf geachtet, denn es war schwere, bedeckte Luft, und kein Schein fiel in die Kammer, als er sich am Abend schlafen legte.;11315;11460;/1
Am Kamin;Ich habe schon zu Anfang eurer Geschichte hier an der Portiere gestanden und zugehört, wie ihr von den Träumenden auf den Sterbenden gekommen seid.;41329;41476;/0
Am Kamin;Die Mutter pflegte mit ihrem Strickzeug neben uns vor der kleinen Lampe zu sitzen.;15459;15541;/0
Tatsachen im Falle Waldemar;"»Keine Schmerzen – ich sterbe.«
";12119;12151;/1
Eine Spukgeschichte;Aber ich kann's nicht leugnen, mir bebt die Brust, unerachtet mir das ganze Ding mit dem schwebenden Teller kindisch und abgeschmackt bedünken will.;12612;12760;/0
Eine Spukgeschichte;So wie Sylvester mir heute sagte, ist der Oheim der armen Kinder hier, um mit unserm wackern R- über die Kurmethode, die man allenfalls bei Augusten versuchen könne, zu Rate zu gehen.;12191;12374;/0
Eine Spukgeschichte;ha, seht ihr's?;9619;9634;/1
Tatsachen im Falle Waldemar;Als besonders bemerkenswert wurde festgestellt, daß diese Senkung der Pupille begleitet war von dem heftigen Ausfluß eines gelblichen Blutwassers, das unter den Lidern hervorlief und von sehr üblem Geruch war.;19110;19319;/1
Am Kamin;Am andern Morgen, als der Doktor aus seinem Schlafzimmer trat, war sie die erste, die ihm begegnete.;2341;2441;/0
Am Kamin;Dann nahmen wir unsre Bücher, sagten ihr gute Nacht und gingen eine Treppe tiefer in die kleine Schlafkammer ihres Sohnes, wo wir noch einige Stunden unsre Studien fortzusetzen pflegten.;16843;17029;/0
Tatsachen im Falle Waldemar;der Puls kaum fühlbar, der Atem nur mit Hilfe eines dem Kranken vor den Mund gehaltenen Spiegels bemerkbar, die Augen wie im Schlaf geschlossen, die Glieder hart und kalt wie Marmor.;10689;10871;/1
Eine Spukgeschichte;seht ihr nichts;5280;5295;/1
Am Kamin;denn er hatte seine Lebenspläne keineswegs gänzlich aufgegeben, und wo der Abend nicht reichte, nahm er unbedenklich die Nacht zu Hülfe.;15229;15365;/0
Am Kamin;Vor einigen Jahren verlebte ich, wie Sie wissen, mit meiner Frau ein paar Wochen auf dem Gute meines Bruders.;31453;31562;/0
Am Kamin;in trockner Sommerzeit aber kann es keinen besseren Weg geben, der feine graue Ton, aus welchem der Boden besteht, ist dann fest und eben, und der Wagen geht sanft und leicht darüber hin.;3804;3991;/0
Am Kamin;Von den mancherlei derartigen Gesprächen und Erzählungen jenes Abends ist mir indessen nur eine einfache Geschichte im Gedächtnis geblieben.;4849;4989;/1
Am Kamin;Nur daraus vermag ich es zu erklären, daß der sonst so verständige Mann von einer fast unbegreiflichen Angst vor einer demnächstigen Sektion seiner Leiche heimgesucht wurde, welche er andererseits von der wissenschaftlichen Neugier meiner Herren Kollegen mit gutem Grund erwarten konnte.;43639;43926;/0
Am Kamin;"Wie der Traum ausgegangen, weiß ich nicht;";28951;28993;/0
Am Kamin;Was denn freilich?;21182;21200;/0
Am Kamin;Als er eben in Sekunda eingetreten war, starb der Vater, welcher ein kleines städtisches Amt bekleidet hatte, und hinterließ Sohn und Witwe in den bedrängtesten Umständen.;14314;14485;/0
Tatsachen im Falle Waldemar;Es war die Ansicht beider Ärzte, daß Herr Waldemar gegen Mitternacht des folgenden Tages (eines Sonntags) sterben werde.;5941;6061;/1
Am Kamin;Aber Sie haben mich getäuscht, Herr Kollege!;47696;47740;/1
Tatsachen im Falle Waldemar;Die Neugier beider Ärzte war in höchstem Grade geweckt.;10196;10251;/1
Am Kamin;Oder wenn man abends vor Schlafengehen unter alle Betten und Kommoden leuchtet, und ich weiß eine, die das sehr eifrig ins Werk setzen wird.;49569;49709;/0
Tatsachen im Falle Waldemar;"Die Augen öffneten sich langsam, die Pupillen drehten sich so weit nach aufwärts, bis sie ganz unsichtbar waren;";13289;13401;/1
Am Kamin;Gott gibt's den Trägen im Schlaf.;32341;32374;/0
Am Kamin;Indem ich aber die Augen anstrengte, um schärfer zu scheu, wurde die Gestalt undeutlich, und bald sah ich nichts mehr als die nackten Wände.;40415;40555;/1
Eine Spukgeschichte;Da schlägt die Wanduhr achte (es war also die neunte Stunde), und leichenblaß sinkt Adelgunde in den Lehnsessel zurück – das Nähzeug entfällt ihren Händen!;9310;9465;/1
Am Kamin;"Das nicht, Herr Assessor;";7501;7526;/0
Eine Spukgeschichte;dicht vor mir!;9679;9693;/1
Tatsachen im Falle Waldemar;Selbstverständlich finde ich es ganz natürlich, daß der seltsame Fall des Herrn Waldemar viel erörtert worden ist.;0;114;/1
Am Kamin;Aber wir fühlten beide, daß das ein Abschied für das Leben sei.;17796;17859;/1
Am Kamin;Es war still drinnen, die Nachtlampe war herabgebrannt, und unter dem dunklen Betthimmel fand er beim trüben Schein der Dämmerung die Leiche seiner Mutter.;19783;19938;/1
Eine Spukgeschichte;Keine Spur irgendeiner Überspannung war zu finden, wiewohl das schmerzliche Lächeln, der tränenschwere Blick wenigstens irgendeinen physischen Krankheitszustand, der auch auf das Gemüt des zarten Kindes feindlich einwirken mußte, vermuten ließ.;2526;2770;/0
Eine Spukgeschichte;Du weißt, was ich von Spukgeschichten halte, du weißt, daß ich mich gegen alle Visionärs damit brüste, daß die Geisterwelt, unerachtet ich sie oft mit verwogener Keckheit in die Schranken rief, noch niemals sich bemühte, mich für meinen Frevel zu züchtigen, aber Cyprians Erzählung gibt einen ganz andern Punkt zu bedenken, als den der bloßen chimärischen Spukerei.;12836;13201;/0
Am Kamin;Halt den Mund, liebes Klärchen!;1275;1306;/0
Tatsachen im Falle Waldemar;»Ja, schlafe noch – sterbe.«;12823;12851;/1
Eine Spukgeschichte;die Gestalt;5298;5309;/1
