Titel;Satz;Position1;Position2;Suspense
Der Fremde;Löwenstein.;13342;13353;/-
Der Fremde;Löwenstein.;13778;13789;/-
Der Untergang des Hauses Usher;Bislang hatte sie standhaft der Gewalt der Krankheit getrotzt und war noch nicht bettlägerig geworden.;17369;17471;/0
Der Untergang des Hauses Usher;Das Schreiben zeugte entschieden von nervöser Aufregung. ;3124;3181;/1
Der Untergang des Hauses Usher;Und wie nun eine innige und immer innigere Vertrautheit mich immer rückhaltloser eindringen ließ in die Tiefen seiner Seele, kam ich immer mehr zu der bitteren Erkenntnis, daß alle Versuche vergeblich sein mußten, ein Gemüt zu erheitern, dessen Schwermut wie eine ewig unwandelbare positive Eigenschaft sich ergoß und alle Dinge der Welt stetig und ausnahmslos mit düsteren Strahlen beflutete.;18115;18508;/0
Der Fremde;"Seine Aussicht in die Zukunft war die heiterste.";2320;2369;/0
Der Untergang des Hauses Usher;Es nicht hören?;41354;41369;/1
Der Untergang des Hauses Usher;Hörte ich nicht schon ihren Tritt auf der Treppe?;42330;42379;/1
Der Fremde;der Arzt, der geholt ward, sprach ihm das Leben ab.;18138;18189;/1
Der Untergang des Hauses Usher;Obgleich wir als Knaben geradezu vertraute Kameraden gewesen waren, wußte ich dennoch recht wenig über meinen Freund.;3744;3861;/0
Der Untergang des Hauses Usher;"Wir grübelten gemeinsam über solchen Werken wie ›Ververt et Chartreuse‹ von Grasset, ›Belphegor‹ von Macchiavelli, ›Himmel und Hölle‹ von Swedenborg, ›Die unterirdische Reise des Nicolaus Klimm‹ von Holberg, die Chiromantie von Robert Flud, von Jean d'Indaginé und von de la Chambre; brüteten über der ›Reise ins Blaue‹ von Tieck und der ›Stadt der Sonne‹ von Campanella.";25497;25868;/0
Der Untergang des Hauses Usher;Augenscheinlich hatte sie in früheren Zeiten der Feudalherrschaft als Burgverlies übelste Verwendung gefunden und hatte später als Lagerraum für Pulver oder sonst einen leicht entzündlichen Stoff gedient, denn ein Teil ihres Fußbodens sowie das ganze Innere eines langen Bogenganges, von dem aus wir das Gewölbe erreichten, war sorgfältig mit Kupfer bekleidet.;28024;28384;/0
Der Fremde;"Löwenstein wird blutend in den Saal gebracht, vom Wein betäubt war er die Treppe hinuntergestürzt;";18039;18137;/1
Der Untergang des Hauses Usher;Ich erwähne diese Anschauung weniger darum, weil sie etwa besonders neu wäre (denn andere haben ähnliche Hypothesen aufgestellt), als wegen der Hartnäckigkeit, mit der Usher sie vertrat.;23542;23728;/1
Der Untergang des Hauses Usher;Ich betrachtete das Bild vor mir – das einsame Gebäude in seiner einförmigen Umgebung, die kahlen Mauern, die toten, wie leere Augenhöhlen starrenden Fenster, die paar Büschel dürrer Binsen, die weißschimmernden Stümpfe abgestorbener Bäume – mit einer Niedergeschlagenheit, die ich mit keinem anderen Gefühl besser vergleichen kann als mit dem trostlosen Erwachen eines Opiumessers aus seinem Rausche, dem bitteren Zurücksinnen in graue Alltagswirklichkeit, wenn der verklärende Schleier unerbittlich zerreißt.;731;1241;/1
Der Untergang des Hauses Usher;Es war, sagte er, ein ererbtes Familienübel, ein Übel, für das ein Heilmittel zu finden er verzweifle – nichts weiter als nervöse Angegriffenheit, fügte er sofort hinzu, die zweifellos bald vorübergehen werde.;13442;13651;/0
Der Untergang des Hauses Usher;Wir setzten uns, und da er nicht gleich sprach, betrachtete ich ihn minutenlang – und wurde von Mitleid und Grauen ergriffen.;10632;10757;/1
Der Fremde;Die Aufmerksamkeit wird sogleich unmittelbar auf den Hauptgegenstand gelenkt, mit dessen Lage und Beschaffenheit man sogleich bekannt gemacht wird.;1932;2079;/0
Der Untergang des Hauses Usher;Wird sie nicht eilen, um mir meine Eile vorzuwerfen?;42277;42329;/1
Der Fremde;Sie sind melancholisch und ich beklage Sie.;13790;13833;/0
Der Untergang des Hauses Usher;Ich war den ganzen Tag lang geritten, einen grauen und lautlosen melancholischen Herbsttag lang – durch eine eigentümlich öde und traurige Gegend, auf die erdrückend schwer die Wolken herabhingen.;78;274;/0
Der Fremde;Er entdeckte sich seinem Vater, der alles für seinen einzigen Sohn anzuwenden versprach.;5203;5291;/1
Der Untergang des Hauses Usher;So sprach er also von dem Zweck meines Besuches, von seinem dringenden Verlangen, mich zu sehen, und von dem trostreichen Einfluß, den er von mir erhoffe.;13219;13373;/0
Der Fremde;Ein Abendwind ging durch die rauschenden Gebüsche hinter ihm her, graue Wolken flatterten um die Kronen einzelner schlanker Fichten, ein räthselhafter Wiederschein des Abendrothes stand mitten im dunkeln Walde, und äugelte durch die grüne Finsterniß.;9159;9409;/1
Der Untergang des Hauses Usher;Denn inmitten des Rüttelns der Fensterläden und der vielfältigen Lärmlaute des anwachsenden Sturmes hatte der Laut an sich sicherlich nichts, was mich interessiert oder gestört haben könnte.;37512;37702;/0
Der Fremde;Seine Liebe war nicht die Wirkung einer plötzlichen Laune, die immer eben so schnell verblüht, als sie entsteht, sondern ein vertrauter freundschaftlicher Umgang hatte seit Jahren diese Liebe gegründet.;2370;2572;/0
Der Untergang des Hauses Usher;"Ich war allerdings auf etwas Derartiges gefaßt gewesen;";12544;12599;/0
Der Untergang des Hauses Usher;"Die Bildwerke, die seine rastlose Phantasie erstehen ließ und die seine Hand in wunderbar verschwommenen Strichen wiedergab, weckten in mir ein tödliches Grauen, das umso grausiger war, als ich nicht enträtseln konnte, weshalb diese Bilder mich so schauerlich berührten;";19164;19434;/1
Der Untergang des Hauses Usher;Die Blässe seines Gesichts war womöglich noch gespenstischer geworden – aber der feurige Glanz seiner Augen war ganz erloschen.;30153;30280;/1
Der Untergang des Hauses Usher;Obwohl ich durch dies zweite und höchst seltsame Zusammentreffen erschreckt war und tausend widerstreitende Empfindungen, in denen Erstaunen und äußerstes Entsetzen vorherrschten, mich bestürmten, hatte ich dennoch Geistesgegenwart genug, nicht etwa durch eine diesbezügliche Bemerkung die Nervosität meines Gefährten noch zu steigern.;38979;39314;/1
Der Fremde;"Alles war geendigt, Löwenstein rasselte über die Chausseen nach seiner Heimath zurück, seine Liebe erschien ihm bei seiner langen Abwesenheit in einem ganz neuen Gewande, er nahm sich nicht die Mühe die Gegenstände um sich her anzublicken, denn Amaliens Bildniß füllte einzig seine Seele und seine Augen, so daß er sie allenthalben wandeln sahe, in jedem grünen Busche, auf jedem Fußsteige, zwischen den Kornfeldern;";6841;7257;/0
Der Untergang des Hauses Usher;"Diese Erscheinungen, die dich erschrecken, sind nichts Ungewöhnliches; es sind elektrische Ausstrahlungen – vielleicht auch verdanken sie ihr gespenstisches Dasein der schwülen Ausdünstung des Teiches.";34761;34962;/0
Der Untergang des Hauses Usher;Schon seit Jahren hatte er sich nicht mehr aus dem Hause herausgewagt – infolge eines Einflusses, dessen eingebildete Wirkung er mir in so unbestimmten, schattendunkeln Worten mitteilte, daß ich sie hier nicht wiedergeben kann.;15253;15480;/1
Der Fremde;Der Mensch braucht wenig, und Raum am allerwenigsten, wenn er mit sich selbst zufrieden ist.;15588;15680;/0
Der Fremde;O Himmel!;12705;12714;/1
Der Untergang des Hauses Usher;es war eine Einbildung, so lächerlich in der Tat, daß ich sie nur erwähne, um zu zeigen, wie lebendig, wie stark die Eindrücke waren, die auf mir lasteten.;6352;6507;/0
Der Untergang des Hauses Usher;Nachdem der Körper eingesargt worden war, trugen wir ihn beide ganz allein zu seiner Ruhestätte.;27539;27635;/1
Das Bettelweib von Locarno;"Drauf, in dem Augenblick der Mitternacht, läßt sich das entsetzliche Geräusch wieder hören;";4816;4907;/1
Der Untergang des Hauses Usher;Ethelred;41913;41921;/1
Der Untergang des Hauses Usher;Vor allem war ich bestürzt, ja entsetzt von der jetzt gespenstischen Blässe der Haut und dem jetzt übernatürlichen Strahlen des Auges. ;11802;11937;/1
Der Untergang des Hauses Usher;Er schweifte von Zimmer zu Zimmer mit eiligem, unsicherem und ziellosem Schritt.;30072;30152;/1
Der Untergang des Hauses Usher;Und an der Mauer hing ein Schild aus schimmerndem Stahl mit der Inschrift:;38034;38108;/0
Der Fremde;"Mit Sehnsucht erwartete Amalie die Ankunft Löwensteins;";6684;6739;/0
Der Untergang des Hauses Usher;Es war Blut auf ihrer weißen Gewandung, und die Spuren eines erbitterten Kampfes waren überall an ihrem abgezehrten Körper zu erkennen.;43018;43153;/1
Der Untergang des Hauses Usher;"Gelber Fahnen Faltenschlagen
Floß wie Sonnengold im Wind –
Ach, es war in alten Tagen,
Die nun längst vergangen sind! –
Damals kosten süße Lüfte
Lind den Ort,
Zogen als beschwingte Düfte
Von des Schlosses Wällen fort.
";22307;22525;/0
Der Fremde;Ich habe diese Kinderei heute auch zum erstenmale an mir bemerkt.;11917;11982;/0
Der Untergang des Hauses Usher;Es ist zweifellos: das Bewußtsein, mit dem ich das Anwachsen meiner abergläubischen Furcht – denn dies ist der rechte Name für die Sache – verfolgte, diente nur dazu, diese Furcht selbst zu steigern.;5838;6037;/0
Der Fremde;man besuchte sich gegenseitig, und Lindner zeichnete sehr bald Amalien von allen übrigen Freundinnen aus.;3840;3945;/0
Der Fremde;"er dachte nur an die Erscheinung, wenn er allein war;";17451;17504;/1
Der Fremde;Er ging auch wirklich und stellte die ganze Lage der Sachen den Eltern Amaliens in das hellste Licht, er sprach mit dem Mädchen selber, aber er kam ohne Trost zu seinem Sohne zurück.;5292;5474;/0
Der Fremde;Die Finsterniß erscheint unserm Geiste als ein feindseliges Wesen, das die Umrisse aller sichtbaren Gegenstände verwandelt und verwirret, und uns so in eine fremde bis dahin unbegreifliche Welt versetzt.;12046;12249;/0
Der Fremde;ach!;14189;14193;/0
Der Untergang des Hauses Usher;wie eine irrsinnige Heiterkeit flammte es aus ihnen – sein ganzes Gebaren zeigte eine mühsam gebändigte hysterische Aufregung.;33036;33162;/1
Das Bettelweib von Locarno;"Die Frau, da sie sich erhob, glitschte mit der Krücke auf dem glatten Boden aus, und beschädigte sich, auf eine gefährliche Weise, das Kreuz;";654;795;/1
Der Untergang des Hauses Usher;Wir setzten den Deckel wieder auf, schraubten ihn fest, und nachdem wir die Eisentüre wieder verschlossen hatten, nahmen wir mit Mühe unsern Weg hinauf in die kaum weniger düsteren Räumlichkeiten des oberen Stockwerkes.;29600;29819;/0
Der Untergang des Hauses Usher;Bei meinem Eintritt erhob sich Usher von einem Sofa, auf dem er lang ausgestreckt gelegen hatte, und begrüßte mich mit warmer Lebhaftigkeit, die mir zuerst übertrieben schien – etwa als gezwungene Liebenswürdigkeit des blasierten Weltmannes.;10304;10545;/0
Der Untergang des Hauses Usher;Furcht.;15012;15019;/1
Der Fremde;Sie starb nach einigen Wochen in den heftigsten Ausbrüchen des Wahnwitzes.;18529;18603;/1
Das Bettelweib von Locarno;und mit dem ersten Schritt: tapp! tapp! erwacht der Hund, hebt sich plötzlich, die Ohren spitzend, vom Boden empor, und knurrend und bellend, grad als ob ein Mensch auf ihn eingeschritten käme, rückwärts gegen den Ofen weicht er aus.;5044;5277;/1
Der Fremde;Lindner bemerkte dieses Zurückziehen, und um so eifriger drängte er sich ihr auf, alle seine Bemühungen waren nur nach ihr gerichtet, sein Witz strebte nur nach ihrem belohnenden Lächeln. ;4449;4637;/1
Der Fremde;Amalie stieß einen lauten Schrei aus als er starb, sie sprach wahnsinnig und zeigte den Gästen den gestorbenen Lindner, der an der Saalthüre stehe, und sie starr betrachte.;18354;18526;/1
Der Untergang des Hauses Usher;"Und durch glutenrote Fenster
Werden heute Wandrer sehn
Ungeheure Wahngespenster
Grauenhaft im Tanz sich drehn;";23208;23318;/1
Der Untergang des Hauses Usher;Eine beständige Apathie, ein langsames Hinwelken und häufige, wenn auch vorübergehende Anfälle, vermutlich kataleptischer Natur, das war die ungewöhnliche Diagnose.;17204;17368;/0
Der Untergang des Hauses Usher;Vieles, was ich unterwegs erblickte, trug irgendwie dazu bei, das unbestimmte niederdrückende Gefühl, von dem ich schon gesprochen habe, zu verstärken.;8508;8659;/1
Das Bettelweib von Locarno;dergestalt, daß sie zwar noch mit unsäglicher Mühe aufstand und quer, wie es vorgeschrieben war, über das Zimmer ging, hinter den Ofen aber, unter Stöhnen und Ächzen, niedersank und verschied.;796;988;/1
Der Untergang des Hauses Usher;"Wahrscheinlich, so sagte ich mir, ist es eben dieser Mangel einer Seitenlinie, ist es dies von Vater zu Sohn immer sich gleichbleibende Erbe von Besitztum und Familienname, das schließlich beide so miteinander identifiziert hatte, daß der ursprüngliche Name des Besitztums in die wunderliche und doppeldeutige Bezeichnung ›das Haus Usher‹ übergegangen war – eine Benennung, die bei den Bauern, die sie anwendeten, beides, sowohl die Familie wie das Familienhaus, zu bezeichnen schien.
";5115;5600;/0
Der Fremde;Die Finsterniß hängte noch dichtere Schleier zwischen die Bäume, als er wirklich einen deutlichen Fußtritt hinter sich zu hören glaubte.;10429;10565;/1
Der Fremde;ich habe immer gefunden, daß ein Kaminfeuer die Phantasie erhebt, und den vorlauten Verstand etwas zum Schweigen bringt, und damit in nachfolgender Erzählung ja nicht zuviel Verstand hineingerathen möchte, schreibe ich sie vorsorglicherweise ebenfalls beim Kaminfeuer.;1296;1564;/0
Der Untergang des Hauses Usher;Ich schaudere bei dem Gedanken, irgendein ganz geringfügiger Vorfall könne die unerträgliche Seelenerregung verschlimmern.;14572;14694;/1
Der Untergang des Hauses Usher;"Jetzt riß der Kammerdiener eine Türe auf und führte mich hinein zu seinem Herrn.
";9259;9340;/1
Der Untergang des Hauses Usher;Da endlich, als die Schatten des Abends herniedersanken, sah ich das Stammschloß der Usher vor mir.;275;374;/1
Der Untergang des Hauses Usher;sie habe ihn zu dem gemacht, als den ich ihn jetzt erblicke – zu dem, was er nun sei.;25146;25231;/1
Der Untergang des Hauses Usher;dennoch ist es mir nicht möglich, einen Begriff zu geben von dem Charakter der Studien oder Beschäftigungen, in die er mich einspann oder zu denen er mich hinwies.;18648;18811;/1
Der Untergang des Hauses Usher;Aber als der werte Held Ethelred jetzt in die Türe trat, geriet er bald in Wut und Bestürzung, kein Zeichen des boshaften Klausners zu bemerken, sondern statt seiner ein ungeheurer schuppenrasselnder Drachen mit feuriger Zunge, der als Hüter vor einem goldenen Palast mit silbernem Fußboden ruhte.;37736;38033;/0
Der Fremde;Es währte nicht lange, so zog ihm die zu große Spannung der Seele ein hitziges Fieber zu, an welchem er starb.;5938;6048;/1
Das Bettelweib von Locarno;Doch der Ritter bat um die Gefälligkeit, ihm zu erlauben, daß er auf einem Lehnstuhl, in seinem Schlafzimmer übernachte, und als der Morgen kam, ließ er anspannen, empfahl sich und reiste ab.;2075;2266;/0
Der Untergang des Hauses Usher;sagte ich schaudernd zu Usher, als ich ihn mit sanfter Gewalt vom Fenster fort zu einem Sessel führte.;34657;34759;/0
Der Untergang des Hauses Usher;Einen Augenblick später klopfte er leise an meine Tür und trat mit einer Lampe in der Hand ein.;32844;32939;/1
Der Untergang des Hauses Usher;Und Ethelred schwang seinen Streitkolben und schmetterte ihn auf den Schädel des Drachen, der zusammenbrach und seinen üblen Odem aufgab, und dieses mit einem so gräßlichen und schrillen und durchdringenden Schrei, daß Ethelred sich gern die Ohren zugehalten hätte vor dem schrecklichen Laut, desgleichen hievor niemalen erhört gewesen war.;38220;38560;/1
Der Fremde;Ich kann sie nicht lieben.;14971;14997;/1
Der Fremde;sehn Sie, sehn Sie dort ;12715;12739;/1
Der Untergang des Hauses Usher;Das seidige Haar hatte ein ungewöhnliches Wachstum entfaltet, und wie es da so seltsam wie hauchzarter Altweibersommer sein Gesicht umflutete, konnte ich beim besten Willen nicht dies arabeskenhaft verschlungene Gewebe mit dem einfachen Begriff Menschenhaar in Beziehung bringen.;11937;12216;/1
Der Fremde;Ach Freund, die Liebe stärkt unser Auge, auch in der trübsten Verworrenheit ein reizendes harmonisches Ganze zu finden.;13354;13473;/0
Der Untergang des Hauses Usher;"Lange – lange – lange – viele Minuten, viele Stunden, viele Tage habe ich es gehört – aber ich wagte nicht – oh, bedaure mich – elender Schurke, der ich bin! – Ich wagte nicht, ich
wagte
nicht zu reden!
";41413;41616;/1
Der Untergang des Hauses Usher;sowohl sein Brief als auch meine Erinnerung an bestimmte Wesenseigenheiten des Knaben hatten mich darauf vorbereitet, und auch sein Äußeres wie sein Temperament ließen dergleichen ahnen.;12600;12786;/0
Der Untergang des Hauses Usher;"Und Ethelred, der von Natur ein mannhaft Herz hatte und der nun, nachdem er den kräftigen Wein getrunken, sich unermeßlich stark fühlte, begnügte sich nicht länger, mit dem Klausner Zwiesprach zu halten, der wirklich voll Trotz und Bosheit war, sondern da er auf seinen Schultern schon den Regen fühlte und den herannahenden Sturm fürchtete, schwang er seinen Streitkolben hoch hinaus und schaffte in den Planken der Tür schnell Raum für seine behandschuhte Hand;";36354;36817;/0
Das Bettelweib von Locarno; dergestalt, daß, da sich unter seinem eigenen Hausgesinde, befremdend und unbegreiflich, das Gerücht erhob, daß es in dem Zimmer, zur Mitternachtsstunde, umgehe, er, um es mit einem entscheidenden Verfahren niederzuschlagen, beschloß, die Sache in der nächsten Nacht selbst zu untersuchen.;2398;2688;/1
Der Untergang des Hauses Usher;Die ungeheure Wut des hereinstürmenden Orkans hob uns fast vom Boden empor.;33605;33680;/1
Der Untergang des Hauses Usher;"Die Wirkung dieser Erscheinung, fügte er hinzu, sei der lautlos und gräßlich zunehmende vernichtende Einfluß, den sie seit Jahrhunderten auf das Geschick seiner Familie ausgeübt habe;";24962;25145;/1
Der Untergang des Hauses Usher;und ich erkannte dies als eine Folge seiner wiederholten kraftlosen Versuche, ein ihm innewohnendes Angstgefühl, das ihn wie Zittern überkam, zu unterdrücken – einer heftigen nervösen Aufregung Herr zu werden.;12334;12543;/1
Der Untergang des Hauses Usher;Wahnsinniger!;42586;42599;/1
Der Untergang des Hauses Usher;Wahnsinniger!;42464;42477;/1
Der Fremde;Ich werde sie wiedersehn!;12823;12848;/0
Der Untergang des Hauses Usher;Das Zimmer, in dem ich mich nun befand, war sehr groß und hoch.;9340;9403;/0
Der Fremde;Löwenstein war auf dem höchsten Gipfel seiner Wonne, Musik und Wein begeisterten ihn so sehr, daß er beinahe in eine frohe Laune verfiel, die an den Wahnsinn gränzte.;17767;17933;/1
Der Untergang des Hauses Usher;Ich bemühte mich, der Nervosität, die mich ergriffen hatte, Herr zu werden.;31403;31478;/1
Das Bettelweib von Locarno;er war auf die elendiglichste Weise bereits umgekommen, und noch jetzt liegen, von den Landleuten zusammengetragen, seine weißen Gebeine in dem Winkel des Zimmers, von welchem er das Bettelweib von Locarno hatte aufstehen heißen.;5967;6196;/1
Der Untergang des Hauses Usher;In diesem entnervten, in diesem bedauernswerten Zustand fühle ich, daß früher oder später die Zeit kommen wird, da ich beides, Vernunft und Leben, hingeben muß – verlieren im Kampf mit dem gräßlichen Phantom:;14803;15011;/1
Der Fremde;"Aber bei jeder Geschichte, die sich nur etwas über das Alltägliche erhebt, auszurufen: credat Judaeus Apella! mit der Zweifelsucht dem Verfasser queer über den Weg zu laufen, ist äußerst unartig;";204;399;/0
Der Fremde;Ich zweifle selbst.;13648;13667;/1
Der Fremde;Ich flehe daher die Gutherzigkeit aller an, die diese Erzählung aufschlagen, mir doch ja auf mein Wort zu glauben, nicht die Belege aus Akten zu fordern, und einem Schriftsteller soviel Ehrgefühl zuzutrauen, daß er nicht eine ganze hochansehnliche Versammlung vorsätzlich mit Lügen wird hintergehen wollen.;493;799;/0
Der Fremde;Das Gespräch lenkte sich bald auf die Stadt und ihre Bewohner, und der junge Unbekannte schien in den meisten Familien sehr zu Hause zu sein.;11225;11366;/0
Der Untergang des Hauses Usher;Bei Beendigung dieses Satzes fuhr ich auf und hielt mit Lesen inne, denn es schien mir so (obwohl ich sofort überlegte, daß meine erhitzte Phantasie mich getäuscht haben müsse), als kämen aus einem ganz entlegenen Teile des Hauses Geräusche her, die ein vollkommenes sehr fernes Echo hätten sein können von jenem Krachen und Bersten, das Sir Launcelot so charakteristisch beschrieben hatte.;36995;37385;/1
Der Untergang des Hauses Usher;Es war ein kleines Bild und zeigte das Innere eines ungeheuer langen rechtwinkligen Gewölbes oder Tunnels mit niederen, glatten weißen Mauern, die sich ohne jede Teilung schmucklos und endlos hinzogen.;20297;20498;/0
Der Fremde;"der Priester legte die Hände der Liebenden in einander, und beide waren unaussprechlich glücklich.";17559;17658;/0
Der Untergang des Hauses Usher;denn in Wahrheit ist in seiner ungefügten und phantasielosen Weitschweifigkeit wenig, was für den scharfsinnigen und idealen Geist meines Freundes von Interesse sein konnte.;35372;35545;/0
Der Fremde;Lernen Sie mein Mädchen kennen, und Sie werden es;15160;15209;/1
Der Fremde;"Es sollte mir nicht viel Mühe und Scharfsinn kosten um zu beweisen, daß dies die wahre Art sei, eine Erzählung anzufangen;";1671;1793;/0
Der Untergang des Hauses Usher;"Anfänglich hatte er mir gegenüber gesessen, so daß ich ihm voll ins Gesicht sehen konnte;";39496;39585;/1
Der Untergang des Hauses Usher;Doch seine Gesichtsbildung war immer merkwürdig und auffallend gewesen:;10991;11062;/0
Der Fremde;Leben Sie wohl, an Ihrem Hochzeittage seh' ich Sie.;15683;15734;/1
Der Untergang des Hauses Usher;Sein Ausdruck entsetzte mich – doch alles schien erträglicher als diese fürchterliche Einsamkeit, und ich begrüßte sein Kommen wie eine Erlösung.;33163;33308;/1
Der Fremde;"Liebe ist auch nur ein Name;";14160;14188;/0
Das Bettelweib von Locarno;"Die Marquise, am andern Morgen, da er herunterkam, fragte ihn, wie die Untersuchung abgelaufen;";3112;3207;/0
Der Untergang des Hauses Usher;Es wäre möglich, überlegte ich, daß eine etwas andere Anordnung der einzelnen Bestandteile dieses Landschaftsbildes genügen würde, um die düstere Stimmung des Ganzen abzuschwächen, ja vielleicht sogar vollständig aufzuheben. ;1999;2224;/0
Der Untergang des Hauses Usher;Kann ich nicht schon das schwere und schreckliche Schlagen ihres Herzens vernehmen?;42380;42463;/1
Der Untergang des Hauses Usher;Nachdem wir unsere traurige Bürde an diesem Ort des Grauens auf ein vorbereitetes Gestell niedergesetzt hatten, schoben wir den noch lose aufliegenden Deckel des Sarges ein wenig zur Seite und blickten in das Antlitz der Ruhenden.;28581;28811;/0
Der Fremde;Warum lieben Sie und streben nach Gegenliebe?;14239;14284;/0
Der Fremde;Unrecht?;14560;14568;/1
Der Untergang des Hauses Usher;Gänzlich entnervt sprang ich auf die Füße, aber die taktmäßige Schaukelbewegung Ushers dauerte fort.;40770;40870;/1
Der Untergang des Hauses Usher;"Son coeur est un luth suspendu;
Sitôt qu'on le touche il résonne.
De Beranger";0;77;/-
Der Fremde;Friedrich Löwenstein und Amalie Willmann waren im Blüthenalter des Lebens, sie empfanden das reine Glück einer unschuldigen ungestörten Liebe, sie überließen sich ruhig der wechselnden Zeit, die für sie nur ein breiter glänzender Strom des Vergnügens war.;2573;2828;/0
Der Untergang des Hauses Usher;Es fehlen mir die Worte, um die ganze Ausdehnung dieser Idee, um die unbeirrte Hingabe meines Freundes an sie auszudrücken.;24019;24142;/0
Der Untergang des Hauses Usher;Die ungewöhnliche Dichtigkeit der Wolken, die so tief hingen, als lasteten sie auf den Türmen des Hauses, verhinderte nicht die Wahrnehmung, daß sie wie mit bewußter Hast aus allen Richtungen herbeijagten und ineinanderstürzten – ohne aber weiterzuziehen.;33932;34187;/1
Der Untergang des Hauses Usher;Solche Anschauungen bedürfen keines Kommentars, und ich füge ihnen daher nichts hinzu.;25234;25320;/0
Der Untergang des Hauses Usher;Ich will nicht leugnen, daß, wenn ich mir das finstere Gesicht des Mannes ins Gedächtnis rief, dem ich am Tage meiner Ankunft auf der Treppe begegnete – daß ich dann kein Verlangen hatte, einer Sache zu widersprechen, die ich nur als eine harmlose und keineswegs unnatürliche Vorsichtsmaßregel ansah.;27155;27455;/0
Der Untergang des Hauses Usher;"Wir wollen das Fenster schließen; die Luft ist kühl und dir sehr unzuträglich.";34963;35041;/0
Der Untergang des Hauses Usher;"Die Fenster waren lang und schmal und hatten gotische Spitzbogenform;";9404;9473;/0
Der Untergang des Hauses Usher;Diese Dinge bemerkte ich, während ich über einen kurzen Dammweg zum Hause hinaufritt.;8182;8267;/0
Der Untergang des Hauses Usher;Der Kopf war ihm auf die Brust gesunken, aber ich wußte, daß er nicht schlief, denn sein Profil zeigte mir seine weit und starr geöffneten Augen, und sein Körper bewegte sich unausgesetzt sanft und einförmig hin und her.;39820;40040;/1
Der Untergang des Hauses Usher;Du hast es also nicht gesehen?;33430;33460;/1
Der Fremde;Geschrei;18028;18036;/1
Der Untergang des Hauses Usher;"»Ich werde zugrunde gehen«, sagte er,
»ich muß
zugrunde gehen an dieser beklagenswerten Narrheit.";14337;14434;/1
Der Fremde;Die Liebe?;13487;13497;/1
Der Untergang des Hauses Usher;"Ich fuhr in der Erzählung fort:
";37703;37735;/0
Der Untergang des Hauses Usher;Hätte ich wirklich nach der gespannten, ja leidenschaftlichen Aufmerksamkeit schließen dürfen, mit der er mir zuhörte – oder zuzuhören schien –, so hätte ich mir zu dem Erfolg meines Vorhabens Glück wünschen dürfen.;35832;36047;/0
Der Untergang des Hauses Usher;Die Worte einer dieser Rhapsodien sind mir noch gut in Erinnerung.;21662;21728;/0
Der Fremde;Beider Eltern hatten von Jugend auf ihre Liebe begünstigt, man setzte schon den Tag zur Verlobung fest, als das Ziel ihrer Wünsche noch weiter zurück gerückt ward.;2829;2992;/0
Der Fremde;Ein Gepolter;18013;18025;/1
Der Untergang des Hauses Usher;Vielleicht war es hauptsächlich diese Einschränkung, durch die er auf die Gitarre angewiesen war, die seinen Vorträgen solch phantastischen Charakter lieh.;21096;21251;/0
Der Untergang des Hauses Usher;ein krankes Lächeln zuckte um seinen Mund, und ich sah, daß er leise hastend und stotternd vor sich hin murmelte, so, als wisse er nichts von meiner Anwesenheit.;41098;41259;/1
Der Untergang des Hauses Usher;Ich betrachtete sie mit maßlosem Erstaunen, das nicht frei war von Entsetzen – und dennoch konnte ich mir keine Rechenschaft geben über das, was ich fühlte.;16522;16678;/1
Der Untergang des Hauses Usher;"eine leichenhafte Blässe; große klare und unvergleichlich leuchtende Augen; Lippen, die etwas schmal und sehr bleich waren – aber von ungemein schönem Schwunge; eine Nase von edelzartem jüdischen Schnitt, doch mit ungewöhnlich breiten Nüstern; ein schöngebildetes Kinn, dessen wenig kräftige Form einen Mangel an sittlicher Energie verriet; Haare, die feiner und zarter waren als Spinnenfäden.";11063;11456;/0
Der Untergang des Hauses Usher;Schon lange hatte die Krankheit der Lady Magdalen der Geschicklichkeit der Ärzte gespottet.;17112;17203;/0
Der Untergang des Hauses Usher;"Und einzig dies mag die Ursache gewesen sein einer seltsamen Vorstellung, die in meiner Seele entstand, als ich meine Augen von dem Spiegelbild im Pfuhl wieder hinaufrichtete auf das Wohnhaus selbst;";6152;6351;/0
Der Untergang des Hauses Usher;"Seine langen improvisierten Klagegesänge werden mir ewig in den Ohren klingen;";18931;19009;/1
Der Untergang des Hauses Usher;Nichtsdestoweniger beschloß ich, in diesem schwermutvollen Hause einen Aufenthalt von mehreren Wochen zu nehmen.;2634;2746;/0
Der Untergang des Hauses Usher;ferner in den abgestorbenen Bäumen, die das Haus umgaben, und vor allem in dem nie gestörten, unveränderten Bestehen des Ganzen und in seiner Verdoppelung in den stillen Wassern des Teiches.;24490;24680;/0
Der Untergang des Hauses Usher;Sein Hauptentzücken jedoch bildete das Studium eines sehr seltenen und seltsamen Buches in gotischem Quartformat – einem Handbuch einer vergessenen Kirche –, des ›Vigiliae Mortuorum secundum Chorum Ecclesiae Maguntinae‹.;26128;26348;/1
Der Fremde;die heftige Liebe ist zu eigensinnig, um den Vorstellungen und Bitten der Freunde und Verwandten Gehör zu geben.;5529;5641;/0
